;; agents: 100;   tasks: 500;   objectives: 2;   days: 5;   slots: 8;   resource_mu: 50;   resource_sigma: 20;   cost_mu: 50;   cost_sigma: 20;   tasks_per_slot_mu: 15;   tasks_per_slot_sigma: 4;   agent_task_prob: 0.5;   slack: 0.25

100
500
2
5
8

773 717 841 707 803 651 684 771 728 743 636 854 882 742 694 759 733 776 859 737 933 819 645 640 744 896 745 634 834 643 757 819 708 703 711 705 769 586 920 833 792 924 619 664 652 733 706 716 730 731 698 749 619 656 763 797 718 812 739 735 798 656 764 744 853 867 643 751 703 763 727 809 657 783 680 931 754 734 791 756 942 756 834 837 823 808 711 635 771 605 829 782 831 714 683 683 785 824 869 712 

30 14 119 498 461 238 239 37 234 213 12 439 254 
375 478 58 329 25 476 471 257 106 382 476 260 499 152 302 
76 396 48 213 135 474 403 480 162 45 311 210 257 39 
430 42 131 417 193 336 366 458 471 301 285 171 452 359 408 68 284 
273 462 371 61 57 222 407 326 256 374 236 252 282 234 422 96 284 80 167 
257 339 284 493 140 250 150 192 146 
21 110 104 226 494 205 302 492 123 484 153 358 217 202 471 
417 198 378 352 282 30 23 257 67 385 123 432 456 96 

108 211 84 6 231 142 242 297 55 159 394 162 297 121 99 443 392 156 
309 445 151 81 468 205 253 440 314 66 137 456 400 41 462 451 
144 227 494 64 190 187 494 317 271 480 392 423 249 41 319 
365 334 320 154 274 239 391 64 143 31 447 
2 2 55 85 426 191 175 51 233 492 30 324 
490 288 110 321 111 332 205 364 136 391 266 433 418 461 59 196 443 91 487 415 227 
241 382 142 146 219 416 246 334 
354 261 13 69 300 333 180 491 479 310 213 293 81 

46 379 380 479 328 110 168 366 202 153 80 341 212 391 
44 286 454 273 459 230 483 324 328 481 337 413 499 4 360 
228 241 153 142 392 164 115 433 390 38 487 71 231 48 388 126 200 47 190 440 152 308 118 461 
324 64 236 112 133 410 361 396 92 477 264 12 265 272 304 422 
309 326 297 116 226 498 273 115 471 159 469 230 242 
472 321 336 293 359 366 214 21 448 102 79 67 267 486 198 198 467 90 139 473 
162 354 311 174 453 469 337 338 28 12 43 69 16 24 28 162 26 348 
100 338 397 226 426 11 431 190 137 334 437 478 185 

334 120 445 81 151 156 172 
405 270 183 325 471 41 92 138 242 69 131 361 15 376 18 166 491 194 270 163 
33 179 259 378 220 237 14 334 176 242 44 87 438 322 498 244 239 317 287 
318 486 156 288 490 269 57 342 212 378 235 278 78 315 229 144 441 
83 46 144 76 442 157 114 190 
403 265 311 161 218 3 450 316 394 242 242 433 146 458 185 331 
353 255 356 268 250 123 469 159 182 209 157 280 55 499 139 100 42 407 
75 451 30 443 294 140 431 153 112 78 266 491 177 64 98 134 369 345 120 160 409 

76 469 344 125 231 358 85 416 385 471 215 441 217 493 189 225 201 68 388 26 
20 448 94 
259 375 33 291 353 49 42 347 217 271 432 
307 379 305 493 95 251 129 360 175 450 122 327 400 
212 342 484 99 198 236 181 14 492 244 83 45 351 
497 35 121 115 49 196 495 267 467 91 34 34 463 356 416 336 144 371 
43 355 436 34 141 17 345 54 360 272 312 405 71 115 302 395 
12 404 404 196 465 378 98 239 167 206 298 52 215 148 

    0   55    0    0    0    0   59    0   41   26    0   37   18   61   55   37    0   65   11    0    0   52    0    0    0   57    1    0   73    0    0   53   75   30   54    0    0   57   72    0   47   90    0   47   18    0   48    0   47    0    0   52    0   14   78    0    0   55    0   39   66   58   30    0    6   75    0   58   59   50   70    0    0    0    0    0   37   56   41    0    0    0   70   84    0    0    0   43    0    0    0   14   76    0    0   59    0    0   27   28    0   52    0   54   61    0   45    0    0   69    0    0    0   71    0    0   45    0    0    0   50   59   42    0    0   80    0   64    0   44    0   35    0    0    0    0    0   19   59   61    0   52   80    0    0   74   50   68   76    6    0    0    0    0   48   61    0    0   86    0    0   23    0    7   73   41   51   60   13    9   77    0    0   89    0   32   54    0    0    0   53    0   62   55   60    0   50   38    0    0   75   71   48    0   53    0    0    0   68    0    0   37   58   34   80    0    0    0   62   27    0   42   64    0    0    0    0   70   62    0   35   71   30   22    0    0    0   46   71   69    0    0    0   31    0   47    0    0   66    0    0    0    0   54    0    0    0   47    0   43    0    0    0    0    0   49   72   57   26    0    0   75   52    0    0    0    0   62   50    0    0    0    0   63    0    0    0    0    0    0   69   28    0    0   55    0    0   25    0   48    0   56   21   75    0    0   48   52   57    0   39    0    0   61    8   21   65   26   56   50    0   36    0    0    0   39    0   70   47   50   29   62   61   80   45    0   44   38    0   64    0   29    0    0    0   35    0   71    0    0   42    0   43   14   34   20   51    0    0   56   51    0    0    0   46   54   72    0   27    0   69   57    0   63    0    0   38   68   32    0    0    0    0    0   30    0    0   60    0   67    0   55   50    0   38   33   57   59    0   13    0   44   26    0    0    0    0   54   46   38   50   44    0    0   66    0    0    0   60    0    0   57   44    0    0    0    0    0    0    0   69   92   32    0    0    0   55   73    0   39    0   82    0   30   50    0    0   43    0    0   59    0    0   28   66   47    0    0   83   49    0    0   37   38    0   77   41    0    0   47    0    0   39   39    0   84   65   59    0    0   51    0   38   39    0   47    0    0    0   81   62   66   70   50    0    0   53    0    0    0    0   53    0    0   53   61   66    0   42   20
   69    0   25   22    0    0    0   53   38   34    0    0   11    0   88   65   67    0    0   30    0   48   62    0   27   65   62    0   72    0   70   46   48    0   50    0    0    0    0   39    0    0    0   14    0   68   77   66    0    0   34   15   77   57    0    0   63   89   46   49    8   90    0    0   61   98   43    0    0    0    0   89    0    0   54    0    0    0    0   29   20   34    0   24   55    0    0   44   57    0   53   50   34   39   62    0    0    0    0   37    0   59   59    0   59    0   31    0    0   58    0   97   70    0   15   23   38    0    0    0    0    0    0   67   41   35    0   33   47   56   99    0    0   23   62   56    0    0    0    0    0    0   51   52   37    0    0    0    0    9    0    0    9   75    0    0    0    0    0   55    0   74    0   50    0    0   77   32   41   61   84   74   49   78    0    1    0   25   49    0    0    0   58    0    0   78    0    0    0    0   62   58    8   63    0    0    0    0    0    0    0   53   65    0    9   52    0   52    0   34   73    0   73   48    0   28    0   15   58    0   62   51    0    0    0   36    0   40   44    0   54   29    0   57    0  102    0   38    0    0   81   62   61   38   37    0   47   41   47    0  100    0    0    0    0    0    0    0    0   53   62    0    0    0   52    0   44   45    0   61    0   72   74   60   52    0   61    0    0   56    0   55    0    0    0   57   76   68    0    0    3   43   66   48    0    0    0    0   26   53    0   26    0    0    0    0   27    5   40   56    0   61   56   67   43    0    0    0    0   51    0    0   50    0    0   35   64   34   75    0    0   70   35   47   26   56   90   99    0    0    0    0    0   57    0   34    0    0   57   61   77    0    0    0   76   69    0   20   41    0   36   17    0    0    0   71    0   72   98    0   15    0    0   37    0    0   52    0    0   52   40    0   92    0    0   61   54   39   87    0    0   38   26    0   55    0   35   34   58    0   25    0    0    0    0    0    0    0   68    0   59    0    0    0   76   43    0   24   75    0    0   48   41   45    0   45   47    0    0   34    0    0    0   17   44    0   64   68   73    0   48   58    0   64    0   12    0    0    0    0    0   32    0   68    0    0   53    0    0   37    0    0    0   48    0    0   80    0   46   73    0    0    0    0    0    0    0    0    0    0    0    0    0   41    0   50    0    0    0   94   51   53    0   58   59    0   56   43    0    0
    0   46    0    0   45   37   56    0    0    4    0   22    0    0    0   70   54   34    0   28    0    0   54    0    0    0    0   68    0    0    0    0   36    0   43   51    0    0    0   56    0   47   49   82   64   40    0    0    0   39    0    0   76   18    0    0    0    0   39    0    0    0    0    0    0   28   59    0   25   13    0   52   64    0    0   27    0    0   23   70    0   36   63    0    0    0    0   81    0    0   47   86    0    0    0   18    0   68    0   81    0    0    0   50    0    1    0    0    0    0   65    0   75   56   30   86    0    0    0    0   49    0    0    0    0    0   60    0   32    0   49    0    0   39    0    0   52   43   67    0    0   48    0    0    0    0   73   53   46    0   74    0    0    0    0    0   64    0    0   75    0   53    0    0    0   71    0   73    0   88    0    0    0    0   58   72    0    0   50    0    0    0    0    0   52    0    0   71    0   53    0    0    0    0    0   20   72    0    0    1    0   24    0   93    0   59   52    0    2    0   28    0   79   72    0    0    0    0   46   61   38    0   35   66   67   63   44   24   74   10    0   63   44    0   44   86    0   66    0    0   63   60   54    0    0   50    0   57   51    0   53   54   36    0   74    0   96   63   56   61    0   30    0   71    0    0    0    0    0   93   50    0    0    0    0    0    0    0   61    0    0   64    0   45    0    0    0    0   49    0    0    0   51    0    0    0   31   34    0    0   27   33    0   54    0  101    0    0    0    0    0    9   22    0   64    0    0    0    0    0    0   47    0   18   63   20    0    0   83    0    0    0    0    0   67    0   75    0   55    0   52   37    0    0    0    0   69    0   77   85   37    0    0   18    0   99    0    0   67    0   48    0    0   86    0   56   38   51   56    0    0   88    0    0   37    0   63    0    0   42   83    0   24   14   56    0    0    0    0    0   38    0   41   21    0    0   39   34    0    0    0   51    0    4    0   12   29    0    0   32   85   41    0    0    0    0    0    0    0   36    0   69   86    0    0    0   48    0    0    0   56    0    0   54    0    0    0   52    0    0   36   16    0   61   43    0    0    0   42   16   47   85    0    0    0   44   47    0   37   92   12    0    0   43    0    0    0    0    0    0   73   62    0   28   46   38   59    0    0   35    5   45   84    0    0    0    0    0   22    0   84    0    0    0    0   15   67   50   43   64
    0   35   52   52    0    0    0    0   73   37   59    0   10   34   59   80   12    0   61    6    0    0   50   67    0    0   43   52   63    0    0    0   75    0   10   53    0    6   37    0    0    0   55   49    1    0    0    0   45    0   30   85   35   27   33   56    0    0   76    0    0   36    0    0    0   22    0    0    0   58    0   51    9    0    0   37    0   60   45   56    0    0   40    0    0    0    0   88    0   63    0    0    0   33    0   42    0   49    0   37   55    0   53    0    0    6   51   49    0   48    0   75   16   74    0    0    0    0   90    0   58    0   54    0    0   67   51    0   81    0    0    0   58   40    0    0   42   49    0   66   71    0    0   60   77    0   23    0   36    0   30   77   63   72   55    0    0   57   69    0   67    0    0   42    0    0   40    0    0    0   61    0   55    0    0   86   58   55    0   54   54    0    0   42   54   46   68    0   53   82    0    0   45   32   69    0    0    8    0   36   43    0   88   50    0   24    0   86    0    0    0    0   74    0   57   19    0   53   66    0   93    1    0    0   31   50    0    0    0    0   52    0    0   99   38   31    0    0    0    0    0    0    0    0   67   61   34    0    0   81   28   48    0   38   45    0   33   59   29   70   33    0   56    0    0    0   55    0   24    0   38    0   24    0    0   59    0    0    0   59   77   37    0    0    0    0   33    0    0    0    0   52   39   39   61    0   54    0   67   42   55   57    0    0    0   77   77    0   58   51   70   17    0   34   42   18   37    0   47    0    0    0   75    0    0    0   41    0   56    0    0   40    0    0   46    0    0    0    0    0   30   45   26   47   63    0    0   76   37    0   50    0   74   42   45    0    0    0    0   43   79   28   64   36   55    0   67   61    0   46    0    0   35    0   53    0   22    0   30    0   43    0    0   72   55   51    0    0   62   77    0   26    0   24   45   57    0    0   60    0    0    0   47    0   73   47   17   58   47    0    0   10   62   61    0   74   44   39    0    0    0   45   35   31   59    0    0   59    0   63    0    0    5   32    0    0    0    0    0    1    0   74   66    0   45    0   80   24   50    0   49   11   39   14    0    0   51   47   46    0    0   52   54   15    0    0   58    0    1   44    0   85   47    0   45   27    0   20   30    0    0    0   23   74    0    0    0   69   41    0    0   72   53   35    0    0   38    0    0    0
    0   30    0   53    0    0    0    0    0    0    0   65   80   36    0   58    0   31   20   38    0    0    0   35   20    0   47   41    0   73   20    0    0   69    0    0   10   45   44   57   57    0    0   51   22   37   17   38    5    0   36   70   28    0    0    0    0    0    0   62   31   44    2   43    0    0   27   30   41    0   39   55    0   23    0   37    0    0    0    0    0   24    0   20   30    0    0   60   21    0    0    0   30   69   32    0   27    0   63    0   84   30    0    0    0    0    0   27    0    0   52   50   54    0   47   13    0   53    0    0   49    0   53    0   56    0   79    0    0   53   35    0   82   48    0   63    0    0    0   44    0   42   39   64   37    0    0    0   57   47    0    0   58   53   63    0    0    0   86   85    0   31    0    0   34    0    2   37    0    0   41   49    0   38   66   31    0    0    0   53   66   42   59   31   64   88   49   26   39   56   61    0    0   75    0    0   17    0   48    0    0   42   54   69   49    0    0    0   29   55    0   33    0   48    0   62    0    0    0    0   51   19    0    0   40   39   83    0    0    0   50   70    0   68   52   38   63   83    1   47   26   49   57    0    0    0   59   48    0    0   63    0   58   51    0   46   34   41   30    0   80    0   35    0    0    0  113   69   22    0   30    0   23    0    0   56    0   36    0    0    0    0    0   35   36   41    0    0   22    0   75    0    0   54    0    0    0    0    0    0    0    0   92   27    0    0   30    0   52    0    0   39    0   34    0   44    0    0    0   28    0    0   72   35   43   36    0   72    5   71   59    0   18    0   76    0   43   31    0   70   60    0    0    0   42   66    0    0    0    0   64   52    0   56    0    1    0   76   48   58    0   95    8    0   81   38    0   42   38   63   41   44   30    0    0   51   47    0   40   54   38   47   27    0   49    0    0   17   74    0    0   71   40    0    0   17   41    0    0    0    0   70    0    0   85    0   23    0    0    0    0    0    0   50   63    0    0   23    0   51    0    0   44    0    0   46   64    0    0    0    0   28    0   52    0    0    0    0   59    0  106    0    0    0    0    0    0  103   36   67   23    0   15    0    0    0   61   30   23    0   62    0    0    0   42   34    0    0    0   71    0    0   70   51   63   40    0    0   58   64   63   21    0    0    0    0    0    0    0    0    0    0    0   73   54    0   44   54   47    0
   48    0   80   20   31    0   78    0   21    0   63   51   59    0    0   68    0    0   58    0    0    0   46    0    0    0   93    0   62   48    0    0   79   25   85    0   11   33   42    0    0    0    0    0    0    0    0   15   10    0    0   26    0   25   21   69   60   52    0    0    0   67   26    0    0   42   56    0   33    0    0   48   25   33    0    0   61    0   70   43    1   39   27   63    0    0    0   21    0    0    0   73    0    0   39    0    0    0    0    0    0    0    0    0    0    0   42    0    0   30   43   33    0    0    0   61   45    0   34    0    0    0    0    0   81    0    9    0    0   42    0    0    0   35   22   45   66    0    0   42    0    0   68    0   43    0    0    0    0    0   31   78   77    0   97   25   65    0   20   19    0   54   44    0    0   20  106   35    0   50    0    0    0  107   77   28    0   80   59    0   54    0    0    0    0    0    0    0    0   27   49   71    0    0    0    0   30   37   67   47    0    0   58   48   53   50    0    0    0   68    0   62   62   24   16    0    0    0    0    0   23   83    0    0    0   48    0    0    0   29   28    0    0   42    0    0    0   80    0   65    0   58    0    0   44    0    0   63   19    0    0   50   81   55    0   43    0   48   44   48   98   53   26   52    0   19    0   28   62   47   62   68   65    0   54   92    0   34    0    0   48   72    0    0   55   49    0    0   59   39   74   48   15    0    0   48    0   32    0    0    0    0    0   44    0    0    0   11   38   41    0    0   36    0   36   55   27   74    0    0    0   35    0    0    0   24   41    0   37    0   85   43   30   36    0   28   15   21   51   64    0   82    0    0   77   61   41   46    0   23   51    0    0    0    0   46    0   68   70    0   53   48   24   24   78   41    0   47   57    0   49   25   42    0   42    0   29    0    0    0    0   15   43    0   69   25    0   55   45    0   54    0    0    0   70    0   55   44   71   57   62   58    0    0   55    0   46   48   73   82   35    0    0   76   29    0   67    0   57    0    0   64   59    0   33    0   32    0    0   62   62  110    0    0    0    0    0   55    0    0    0   96   17   29    0   42   40   49    0    0   68    0    0   61    0   22   43    0    0  101   45   34   73    0   41   38   57    0   75   35    0    0   95    0    0   37    0    0    0    0    0   49   17   21    0    0   44    0    0   14   35    0   65    0   70    0   50    0   41    0
    0    0    0   72    0    0    0    0   51    0    0   46    0   39    0   50   66   69   40   24   39    0    0   77    0    0    0    0   21    0   44   44   70    0    0    0    0    0    0   21    0   49   57    0    0    0   38   23    0    0   58    0   61   53   53    0   36    0   78    0    0    0   63    0    0   65    0   44    0   35    0    0   65    0   35   48    0    0    0   49   39   76    0   86   19    0   90   43    0   37   45   53    0    0   59  110   47   58   26    0   32    0    0   42   59    0    0    0   58    0    0    0   46    0    0    0    0   58   30    0    0    0    0    1    0    0   78   29    0   47   93    0    0    8    0   51   15   47   34    0   29    0   69   49    0   77    0   33    0    0    0    0    0   24    0    0   60   52   48    0   29   53   42    0   30    0    0   52   40    0   37    0    0    0    0    0   32   60   67    0   61    0    0    0   12   31   41   86    0    0   54   31    0   39   24    1   65    0    0  102    0    0   37   61    0    0   93   58    0    0    0    0    0    0   23   59   54   45   63   88   20    0   42   73    0   71   47   52    0    0   44   98    0    0   40    0   57   69   59   39   84   62    0    0   64   46    0    0   57   34   60   47    0   97    0   44   41   21    0   41    0    0   75    0    0    0    0   75   43    0    0    0    0   81   33   33    0    0    0   48    1    0    1   29    0    0    0    0    0    0   76   34   29   59    5   55   37   65    0   35    0    0    0    0    0   66   48   63    0    0    0    0    0   71    0    0    1   29    0    0    0   56    0    0    0    0   47    0    0    0   79    0    0   85   69    0    0   51    0    1   77    0   40   37    0    1   52    0    0    0   36   40    8    0   76   90   56   50    0   12   43    0   39    0    0   44    0   89   47   82    0    0    0   29   27   58   49    0    0   20    0    0    0    0    0   54   39    0    0    0   54   52    0   50   56    0   72   53   62    0   74   35   65    0    0   30   58   71    0    0    0   38   43   72   59    0   45   39   25   45    0    0    0   44    0   58    0   60    0   39    0   21   10   63    0   77    0    0   22   77    0    0    0    0   23   83    0    0    0    0   82   38   54   37   46    0   85    0    0   36    0    0    0    0    0   37    0    0    0   57    0    0    0   19   34   45   72    0    0    0    0    0    0    0   87    0    0    0    0    4    0    0   42   27    0    0    0   46    0    0
    0   29    0    0    0    0    0    0    0    0    0    0   34    0   63    0   49    0   56   48   76    6   13    0   38   38    0   77   70   54    0    0   70    0   61    0   54   46    0    0   48    0    0    0   48    0    0    0    0    0    0   66    0    0    0   49    0    0    0   79   49   57    0   91   31    0   27   27   45    0   43   57   16    0   78   63   72    0    0   51    0   51   47   59   33   45    0    0   36   44   23   51    0   46   82    0   31    0    0   46    0    0   40   49   19   69    0    0   85    0   65    0   51    0    0   65   80    0   21    0    0    0   83   45    0   18    0    0    0    0   70    0    0   38    0    0    0    0   11    0    0    0   38   55   67    0   42    0    0    0   17    0    0   40  107    0   60    0    0    0   26   52    0    0   35    0   59    0   57   66    0   83    0    0   24    0   32    0    0   55    0   13    0    0   89   22   80   65    0   44    0   56   45    0   70    0    0   61    0   44   72    0    0    0   55   21    0    0   31   30    0    0    0   67   37  102   70    0    0    0    0   15    0    0   43    0    0    0   30    5    0    0    0   57   84   46    0   49    0    0    0    0    0    0   64    0    0   39    0    0   33   57   63   21    0    0   46   82   63    0    0    0   45    0   79    0    0    0    0   39   49   43   51    0   70   46    0   59   44   39    0   59    0   24    0   50    0    0    0    0   22    0   51   74   26    0   32    0    0    0    1    0    0   64  100    2    0    0   23   38   42    0   66   29   47    0   27   13    0    0    0    0    0    0    0   57   39   76   42    0   19   71   44   56    0    0    0    0   32    0   56    0   68    0   73    0    0   52    0    0   73   58    0    0    0   81   43   88    0    0    0    0   42   82   50   68    0   65    0   48    0    0   47   20    1   74    0    0    0    0   68    0    0   73   15   64   23   71    0   48   73    0    0    0    0   52   73    0   67    0    0    0    0   38   49    0    0    0   62    0   38    0    0    0    0   43    0    0    0    0   65   74   57   42   51    0    0   28    0    0    0   36    0    0    0    0    0   47    0   58   24   26    0    0    0   14   32    0    0    0    0   95   62   50    0   19   49   46    0    0    0   39   78    0   92   85    0   90   76    0   53  109   51    0    0    0    0   31   28    0    0   36   28    0   44    0   60   26    0    0    0    0   73   59   16    1    0   77   24    0
    0   75   77   35    0   45    0    0    0   68   37   49    0    0   24   90    0    0   24   45   27    0    0    0    0    0    0   74   83    0    0    0    0    0    0    0    0   33    0    0   62    0    0   40    0   35    0    0    0    0    0   29   23   13    0   49   76   46    0   57    0   67    0   30    0   21    0    0    0    0    0   42   68    0   44   57    0    0   35   93   44    0    0   55   76   54    0   60    0   48   43   57    0    0   78    0    0   54   59    0   32    0    0    0    0    0    0   29   55   54    0   56    0   26    0    0   43   61   90   40    0   72    0   44   59    0   67   48    0    0   52   32   15    0   89   37   84    0    0   63   40    0    0   54   33   59    0    0    0   87   19   37   37    0   71   43   56   90    0    0    0   25    0   51    0   45    0   41   82   60    0   64    0    0    0    0    0   49    0    0    0    0   52    0    0    9   29   40   30    0   61    0   56    0    0   47    8   60    0   46   29   65   23   83   20    0   34    0   48   34    0    0    0    0    0   43   41    0   32   40   84    0   42   40    0    0    0   40    0    0   65   56   62    0    0   63   51    1    0   21    0    0   83    0   66    0    0    0    0    0    0    0    0   86    0    0    0    0    0   56    1    0   70   39   53    0   29    0   88    0    0   30   72    0    0    0   87   68    0    0   71    0    0    0    0   45   60   68   37   36   60    0   36    0    0    0   55    0    0    0    0    0    0   49    0   28    0    0    0   76    0   73   27   71    0    0    0   92    0    0   54    0   25    0    0    0    0    0   19   56   50   68   45    0    0    0   48    0    0   52   95    0    0    0    0   41   52   59   24   52   79   65   29    0   59   28    0    0    0    0    0   49    0   48    0   21    0   27    0    0    0    0    0   47   21   60    0    1    0    0    0   80   72    0    6    0   33   28   52    0   52    0   39    0    0   55    0   83    0   76    0    0    0    0   51   27    0    0    0    0   89    0    0   60   54   56    0   27   54    0    0    0   32    0   40   51    0    0    0    0    0    0   75    0    0   45    0   37   46    0   35    0    0   45    0   45    0   49    0    0   42   48  100   49    0    0    0    0    0    0    0   47   34    0    0   66    0   45   61   58   48   57    0    0   51   34    0   69    0   55   57   60   68    0   83   28   39   70    9   19    0   42    0   32   57    0   78    0   68    0
    0   19   36    0    0   79    6   56    0    0    0   59    0    0    0   37   51   88    0   78   89   52   46    0   34    0   71   57   63    0    0   68    0    0   59   50   25    0    0   70   30   87    0    0   60    0    0   26   61    0    0   76   35    0    0   49    0    0    0    0    0    0   42    0    0    0    0   39   37   53    0    0    0   60    0    0   76   21    0    0    0    0    0    0    0    0    0   62  103   27    0    0    0    0   29    0    0   63    0   79   81    0    0    0    0   45    0    0   33   48    0   75    0    0   58    0    0    0   31   80   82   56   33   42   76    0    0   22    0   51    0    0   69    0   60   43    0   54    0   33    9   58    0    0    0   77   44    0   29   42   18    0   44   33   57    0    0    0   71   42   49   49   45    0    0    0   33    0    0    0    0   28    0    0    0   64   34    0   76    0   74   42    0    0    0   73   19    0    0   61    0    0    0    0   52   24   39    0    0    0   27   39   33    0    0   29    0    0   71    0    0    0   44   50    0  119    0    0   69    0   15    0    0   67    0    0    0   71    0   30    0    1   72   65   67   77    0    0   56   56    0    0   50    0    0    0    0    0    0    0   46    0   55    0    0   33   39    0   59    0    0   14   62    0    0    0   53    0    0    0   78   58   50   82   96    0   11    0   33   31   74    0    0   50    0   37    0   14    0   64    0    0   62   48    0    0    0   29    0   26    0    0   31   51    0   55    0    0   44   50    0    0   43    0    0   93   83   47   26    0    0   77    0    0    0    0    0    0   29   62    0    0    0    0   59    0   43    0   51   65    0    0    0   50    0   63   42    0    0   46    0    0   74    0    0    0   57   65    0   80   30   32    0    0    0    0   51   60    0   42   11   41   49    0    0    0   12   97   49   60   38    0   41    0   56   95   56   34   38    0   63   12   49   49   61    0    0    0    0    0   51    0   80   36    0   46    0    0   83    0   31    0    0    0   68   15   25    0    0    0   70   42    0   51   92    0    0    0    0  107    0   70    0    0   41   52    0    0    0    0   66   57    0   43    0    0   47   38    0    0   41   71    0    0   83   63   73   60   25   73    0   35    0   63    0   41    0   82    0    0   82   48   65   35    0   36   67    0    0   76    1    0   55   40    0    0   45   50   59    0   48    0    0    0    0   64    0    0    0   53
